Category,Task,Priority,Status,Notes
CODE CHANGES,Simplify check-in to private-only visibility,P1,Done,"DONE — removed visibility selector from CheckinConfirmationScreen.tsx; hardcoded visibilityMode='private'."
CODE CHANGES,Remove deprecated values screens,P2,Done,"DONE — deleted ValuesSelectionScreen.tsx, ValuesNarrowScreen.tsx, ValuesFinalScreen.tsx; cleaned AppNavigator.tsx and types.ts."
CODE CHANGES,Audit __DEV__ log guards in services and screens,P2,Done,"DONE — all console.log/warn/error calls in screens and services are inside __DEV__ guards."
CODE CHANGES,Enable Apple Sign-In (required by Apple guidelines),P1,Done,"DONE — set ENABLE_APPLE_SIGN_IN = true in LoginScreen.tsx. Requires Apple Developer key setup (see BACKEND & INFRA row)."
CODE CHANGES,Phone auth UI – already disabled via flag,P2,Done,"Already gated behind ENABLE_PHONE_SIGN_IN = false. No UI visible at runtime. Backend is mock-only."
CODE CHANGES,18+ age gate in ProfileSetupScreen,P1,Done,"Already implemented — age < 18 shows inline error and blocks progression."
DESIGN & ASSETS,App icon (1024x1024 PNG),P1,To Do,"No transparency. No rounded corners (Apple applies mask). Must look good at 60x60 too."
DESIGN & ASSETS,Splash screen,P1,To Do,"Configured in app.json. Verify splash.image and splash.backgroundColor match brand. Test on light and dark mode devices."
DESIGN & ASSETS,App Store screenshots – 6.7 inch,P1,To Do,"Minimum 3 required. iPhone 15 Pro Max simulator in Xcode. Key screens: Discover card, Matches list, Check-in scanner, Values onboarding, Profile."
DESIGN & ASSETS,App Store screenshots – 6.1 inch,P2,To Do,"iPhone 15 simulator. Optional if 6.7 inch screenshots provided, but improves listing quality."
DESIGN & ASSETS,Privacy Policy – write and host,P1,To Do,"Must be live before submission. Must mention: location, photos, identifiers, analytics (Sentry + Mixpanel), and data deletion. Use Termly.io or host on your domain."
DESIGN & ASSETS,Terms of Service – write and host,P2,To Do,"Cover: 18+ age requirement, content policy, account termination, disclaimers. Link from in-app Settings screen."
DESIGN & ASSETS,Support URL or email,P1,To Do,"Shown on App Store listing. Can be mailto:youremail@domain.com or a support webpage. Add to App Store Connect and Settings screen."
DESIGN & ASSETS,App Store description (max 4000 chars),P1,To Do,"Front-load key value prop in first 3 lines (shown before More truncation). Proofread carefully. No competitor names."
DESIGN & ASSETS,App name (max 30 chars),P1,To Do,"Confirm final name for App Store. Bundle ID is currently com.values.app."
DESIGN & ASSETS,Subtitle (max 30 chars),P2,To Do,"Optional but recommended for ASO. Appears below app name on listing."
DESIGN & ASSETS,Keywords (max 100 chars total),P1,To Do,"Comma-separated. Do not repeat app name or category words (Apple auto-indexes those). Research competitor keywords."
DESIGN & ASSETS,Promotional text (max 170 chars),P3,To Do,"Shown above description. Editable without resubmitting. Good for launch messaging."
TESTING – AUTH,Google Sign-In on physical iOS device,P1,To Do,"Test on device – simulator may not have Google account set up. Verify redirect back to app and session stored."
TESTING – AUTH,Apple Sign-In on physical iOS device,P1,To Do,"Required because Apple mandates Sign in with Apple if any third-party auth is offered. Test private email relay path."
TESTING – AUTH,Session restoration (kill app and reopen),P1,To Do,"Fully close app. Reopen. Should auto-login without showing Welcome screen. Token stored via SecureStore."
TESTING – AUTH,Sign out,P1,To Do,"Tap Sign Out in Settings. Must navigate to Welcome screen. Verify no cached user data lingers after sign-out."
TESTING – AUTH,Account deletion,P1,To Do,"Trigger from Settings. Verify user row removed from Supabase auth + profiles. Cannot log back in with same credentials."
TESTING – AUTH,Deep link scan while logged out,P2,To Do,"Open a checkin QR URL while not logged in. App should store token, show login, then route to CheckinConfirmation after login completes."
TESTING – ONBOARDING,New user full onboarding flow,P1,To Do,"Fresh account: Welcome → Login → Profile Setup → Values Onboarding → Main App. Verify no hangs or dead-end states."
TESTING – ONBOARDING,Profile photo upload,P1,To Do,"Upload 1 photo then 4 photos. Verify compression, display on card, and persistence after logout/login cycle."
TESTING – ONBOARDING,Location picker,P1,To Do,"Drop pin on map. Verify neighborhood label resolved via reverse geocoding. Verify coordinates saved to profile."
TESTING – ONBOARDING,Values cloud all tiers (Broad to Top20 to Top10 to Top5),P1,To Do,"Navigate all tiers. Verify tier validation blocks selecting more than allowed. Verify summary screen reflects selections."
TESTING – ONBOARDING,Returning user skips onboarding,P1,To Do,"Existing user with is_onboarding_complete=true must land directly on Discover tab without seeing any onboarding screen."
TESTING – DISCOVER,Profile cards load with match scores,P1,To Do,"Discover tab shows swipeable cards with photo, name, age, and similarity percentage."
TESTING – DISCOVER,Like (swipe right or tap heart),P1,To Do,"profile_swipes row created with direction=like. Card advances to next profile."
TESTING – DISCOVER,Pass (swipe left or tap X),P1,To Do,"profile_swipes row created with direction=pass. User excluded from queue for expiry period."
TESTING – DISCOVER,Mutual match creates entry in Matches tab,P1,To Do,"User A likes User B; User B likes User A. Matches tab shows the new match for both users."
TESTING – DISCOVER,Age filter,P2,To Do,"Open filters panel. Set age range. Verify profile cards shown respect the age bounds."
TESTING – DISCOVER,Distance filter (miles),P2,To Do,"Set radius. Verify users outside radius are excluded from cards."
TESTING – DISCOVER,Gender preference filter,P2,To Do,"Set to Men / Women / Everyone. Verify only matching gender shown in queue."
TESTING – DISCOVER,Empty state when queue is exhausted,P1,To Do,"Exhaust the queue or use an account with no matches in range. Verify friendly empty state UI appears with no crash."
TESTING – DISCOVER,Block user from Discover,P1,To Do,"Tap block on a profile. Verify user disappears immediately and never reappears in future loads."
TESTING – DISCOVER,Report user from Discover,P1,To Do,"Tap report. Select reason. Verify modal closes and confirmation shown. Check Supabase for the report row."
TESTING – MATCHES & CHAT,Matches list renders all mutual matches,P1,To Do,"Matches tab shows all mutual matches with name, photo, match score, and last message preview."
TESTING – MATCHES & CHAT,Open match and default to Chat tab,P1,To Do,"Tap a match. MatchDetailScreen opens on Chat tab by default."
TESTING – MATCHES & CHAT,Send a message,P1,To Do,"Type and send a message. Verify optimistic UI update appears instantly and is confirmed by Supabase."
TESTING – MATCHES & CHAT,Receive message in real-time,P1,To Do,"Have a second device send a message. First user's chat updates without any manual refresh."
TESTING – MATCHES & CHAT,View match profile tab,P2,To Do,"Tap Profile tab in MatchDetailScreen. Match's full profile with photos and values shown correctly."
TESTING – MATCHES & CHAT,Last message preview updates in Matches list,P2,To Do,"Send a message. Return to Matches list. Verify last message text shown and timestamp updated."
TESTING – PROFILE,Own profile card renders correctly,P1,To Do,"Profile tab shows own card exactly as others see it. Photos, bio, prompts, and values all displayed."
TESTING – PROFILE,Edit profile fields then save then persist,P1,To Do,"Edit bio or name. Save. Restart app. Verify change persists after full app restart."
TESTING – PROFILE,Edit photos (add, remove, reorder),P1,To Do,"Add a photo. Remove a photo. Reorder photos. Verify all changes persist after restart."
TESTING – PROFILE,Edit values then save,P1,To Do,"Tap Edit Values. Make a change to a tier. Save. Verify updated values displayed on profile card."
TESTING – PROFILE,Places tab shows check-in history,P2,To Do,"After at least one check-in: visit Profile > Places tab. Verify venue name, date, and check-in record listed."
TESTING – CHECK-IN,QR scanner opens and requests camera permission,P1,To Do,"First launch of QR scanner must show camera permission explanation card then the system permission dialog."
TESTING – CHECK-IN,Camera permission denied graceful fallback,P1,To Do,"Deny camera permission. Verify permission request UI is shown (not a crash). Cancel navigates back cleanly."
TESTING – CHECK-IN,Valid QR scan navigates to CheckinConfirmation,P1,To Do,"Scan a valid QR code with a known token. App navigates to CheckinConfirmationScreen. No visibility selector shown (private by default)."
TESTING – CHECK-IN,Confirm check-in shows success state with venue,P1,To Do,"Tap Check In on CheckinConfirmationScreen. Edge function called. Success state shows venue name and category."
TESTING – CHECK-IN,Already checked in today handled gracefully,P2,To Do,"Check in to same venue twice same day. Second attempt shows 'already checked in' message (not an error crash)."
TESTING – CHECK-IN,GPS mismatch warning appears but does not block,P2,To Do,"Check in with location far from venue. Warning banner appears on success screen; check-in is NOT blocked."
TESTING – CHECK-IN,Invalid QR token shows error state,P1,To Do,"Navigate to CheckinConfirmation with a fake token. Edge function returns error. Error UI shown. Try Again clears it."
TESTING – CHECK-IN,Checked-in venue appears in Profile Places tab,P1,To Do,"After successful check-in go to Profile > Places. Venue must appear in check-in history list."
TESTING – CHECK-IN,Deep link check-in with app already open,P2,To Do,"With app open, trigger values://checkin?token=XXX URL. Verify navigates directly to CheckinConfirmation."
TESTING – CHECK-IN,Deep link check-in from cold start,P2,To Do,"With app closed, open a checkin link from Safari or Messages. App opens and routes to CheckinConfirmation after auth."
TESTING – SAFETY,Block user excludes them from discover,P1,To Do,"Block a user. Refresh discover feed. Blocked user must not appear again in any future load."
TESTING – SAFETY,Report user with reason,P1,To Do,"Report a user selecting a reason. Verify report stored in Supabase. UI shows confirmation without disrupting experience."
TESTING – SAFETY,Policy acceptance gate appears for new users,P1,To Do,"New user must accept Terms + Privacy Policy before accessing main app. Gate appears once and is not shown again after acceptance."
TESTING – EDGE CASES,No internet connection on launch,P1,To Do,"Disable wifi and cellular. Open app. Must show graceful error or cached state. No crash."
TESTING – EDGE CASES,Low match pool (0-1 users in radius),P2,To Do,"Use account with no nearby users in range. Verify empty state UI displays instead of crash or infinite spinner."
TESTING – EDGE CASES,Long bio rendering on profile card,P2,To Do,"Set bio to maximum allowed characters. Verify profile card handles overflow gracefully without clipping or layout break."
TESTING – EDGE CASES,Values onboarding with 0 selections,P2,To Do,"Try to advance past values selection step with nothing selected. Verify validation blocks advancement and shows message."
TESTING – EDGE CASES,Multiple rapid QR scans,P2,To Do,"Wave QR code quickly at camera repeatedly. scannedRef guard must prevent duplicate navigation to CheckinConfirmation."
TESTING – EDGE CASES,Image upload failure on slow connection,P2,To Do,"Simulate slow/dropped connection during photo upload. Verify error is shown and previous photo still displayed."
BACKEND & INFRA,Apply 016_checkin_tables.sql to production Supabase,P1,To Do,"Run in Supabase SQL editor on production project. Creates venues and checkins tables with RLS. File at supabase/migrations/016_checkin_tables.sql."
